1/2 5/2 15/2 19/2 29/2 33/2 37/2 47/2 51/2 61/2 65/2 75/2 79/2 83/2 93/2 97/2 107/2 111/2 
1/2 3 15/2 19/2 29/2 33/2 37/2 47/2 51/2 61/2 65/2 75/2 79/2 83/2 93/2 97/2 53 111/2 
1/2 4 13/2 15/2 19/2 29/2 33/2 43/2 47/2 61/2 65/2 79/2 83/2 93/2 97/2 99/2 111/2 56 
1/2 4 13/2 15/2 19/2 29/2 33/2 47/2 51/2 61/2 65/2 75/2 79/2 93/2 97/2 99/2 111/2 56 
1/2 13/2 15/2 19/2 12 27/2 29/2 33/2 47/2 61/2 65/2 79/2 83/2 93/2 97/2 99/2 111/2 56 
1/2 13/2 15/2 19/2 12 29/2 33/2 47/2 51/2 61/2 65/2 75/2 79/2 83/2 93/2 97/2 111/2 56 
1/2 13/2 15/2 19/2 27/2 29/2 33/2 47/2 51/2 28 61/2 65/2 79/2 93/2 97/2 99/2 111/2 56 
1/2 13/2 15/2 19/2 29/2 33/2 43/2 47/2 51/2 28 61/2 65/2 79/2 83/2 93/2 97/2 111/2 56 
1/2 15/2 19/2 12 29/2 33/2 37/2 47/2 51/2 61/2 65/2 75/2 79/2 83/2 44 93/2 97/2 111/2 
1/2 15/2 19/2 29/2 33/2 37/2 43/2 47/2 51/2 61/2 65/2 69/2 75/2 79/2 83/2 93/2 97/2 111/2 
1/2 15/2 19/2 29/2 33/2 19 43/2 47/2 51/2 61/2 65/2 69/2 37 79/2 83/2 93/2 97/2 111/2 
1/2 15/2 19/2 29/2 33/2 43/2 47/2 51/2 55/2 57/2 61/2 65/2 69/2 79/2 83/2 93/2 97/2 111/2 
1/2 15/2 19/2 29/2 33/2 43/2 47/2 51/2 28 28 61/2 65/2 69/2 79/2 83/2 93/2 97/2 111/2 
1/2 15/2 10 29/2 33/2 37/2 43/2 47/2 51/2 61/2 65/2 69/2 75/2 79/2 83/2 46 97/2 111/2 
1/2 15/2 10 29/2 33/2 43/2 47/2 51/2 55/2 57/2 61/2 65/2 69/2 79/2 83/2 46 97/2 111/2 
1/2 15/2 29/2 33/2 37/2 43/2 47/2 51/2 55/2 57/2 61/2 65/2 69/2 75/2 79/2 83/2 97/2 111/2 
1/2 15/2 29/2 33/2 37/2 43/2 47/2 51/2 28 28 61/2 65/2 69/2 75/2 79/2 83/2 97/2 111/2 
1/2 15/2 29/2 33/2 19 43/2 47/2 51/2 55/2 57/2 61/2 65/2 69/2 37 79/2 83/2 97/2 111/2 
1 2 4 7 9 14 16 23 25 30 33 38 40 47 49 54 56 56 
1 2 4 7 9 14 16 23 25 31 32 38 40 47 49 54 56 56 
1 2 4 7 9 16 18 23 25 30 33 38 40 45 47 54 56 56 
1 2 4 7 9 16 18 23 25 31 32 38 40 45 47 54 56 56 
1 2 4 9 11 16 18 23 25 30 33 38 40 45 47 52 54 56 
1 2 4 9 11 16 18 23 25 31 32 38 40 45 47 52 54 56 
1 2 5 7 8 14 17 21 23 30 33 39 42 46 49 55 56 56 
1 2 5 7 8 14 17 23 26 30 33 37 39 46 49 55 56 56 
1 2 5 7 9 13 16 23 25 30 33 38 40 47 49 54 56 56 
1 2 5 7 9 13 16 23 25 31 32 38 40 47 49 54 56 56 
1 2 5 7 9 14 17 21 23 30 33 39 42 46 49 54 56 56 
1 2 5 7 9 14 17 23 26 30 33 37 39 46 49 54 56 56 
1 2 5 7 9 16 18 23 25 30 33 38 40 44 47 54 56 56 
1 2 5 7 9 16 18 23 25 31 32 38 40 44 47 54 56 56 
1 2 5 9 12 16 18 23 25 30 33 38 40 44 47 51 54 56 
1 2 5 9 12 16 18 23 25 31 32 38 40 44 47 51 54 56 
1 2 6 7 9 12 16 23 25 30 33 38 40 47 49 54 56 56 
1 2 6 7 9 12 16 23 25 31 32 38 40 47 49 54 56 56 
1 2 6 7 9 16 18 23 25 30 33 38 40 43 47 54 56 56 
1 2 6 7 9 16 18 23 25 31 32 38 40 43 47 54 56 56 
